,J+27 Mar 15/06/21,Judiciaire,Appartement Saint-ouen,Tribunal Judiciaire de BOBIGNY,350 000.00 €,225 000.00 €  -35%,      ,Unnamed: 7,Unnamed: 8,Unnamed: 9
67,J+55 Mar 18/05/21,Judiciaire,PAVILLON Aulnay-sous-Bois,Tribunal Judiciaire de BOBIGNY,177 100.00 €,250 000.00 €  +42%,      ,,,
68,,,,,,,,,,
69,J+55 Mar 18/05/21,Judiciaire,Appartement Clichy-sous-Bois,Tribunal Judiciaire de BOBIGNY,26 000.00 €,26 000.00 €  +0%,      ,,,
70,,,,,,,,,,
71,J+55 Mar 18/05/21,Judiciaire,Appartement Epinay-sur-Seine,Tribunal Judiciaire de BOBIGNY,42 000.00 €,127 000.00 €  +203%,      ,,,
72,,,,,,,,,,
73,J+55 Mar 18/05/21,Judiciaire,Appartement Clichy-sous-Bois,Tribunal Judiciaire de BOBIGNY,28 000.00 €,28 000.00 €  +0%,      ,,,
74,,,,,,,,,,
75,J+55 Mar 18/05/21,Judiciaire,Appartement les-Pavillons-sous-Bois,Tribunal Judiciaire de BOBIGNY,45 000.00 €,146 000.00 €  +225%,      ,,,
76,,,,,,,,,,
77,J+61 Mer 12/05/21,Judiciaire,Appartement Grigny,Tribunal Judiciaire de EVRY,20 000.00 €,43 000.00 €  +115%,      ,,,
78,,,,,,,,,,
79,J+61 Mer 12/05/21,Judiciaire,Appartement Évry,Tribunal Judiciaire de EVRY,19 207.06 €,85 000.00 €  +343%,      ,,,
80,,,,,,,,,,
81,J+61 Mer 12/05/21,Judiciaire,Appartement Hardricourt,Tribunal Judiciaire de VERSAILLES,115 000.00 €,115 000.00 €  +0%,      ,,,
82,,,,,,,,,,
83,J+61 Mer 12/05/21,Judiciaire,Logement et local les-Mureaux,Tribunal Judiciaire de VERSAILLES,23 100.00 €,60 000.00 €  +160%,      ,,,
84,,,,,,,,,,
85,J+61 Mer 12/05/21,Judiciaire,PAVILLON Vaux-sur-Seine,Tribunal Judiciaire de VERSAILLES,369 600.00 €,378 000.00 €  +3%,      ,,,
86,,,,,,,,,,
87,J+61 Mer 12/05/21,Judiciaire,Maison Crespieres,Tribunal Judiciaire de VERSAILLES,220 000.00 €,460 000.00 €  +110%,      ,,,
88,,,,,,,,,,
89,J+61 Mer 12/05/21,Judiciaire,Appartement Sartrouville,Tribunal Judiciaire de VERSAILLES,77 000.00 €,78 000.00 €  +2%,      ,,,
90,,,,,,,,,,
91,J+62 Mar 11/05/21,Judiciaire,Appartement Argenteuil,Tribunal Judiciaire de PONTOISE,52 000.00 €,150 000.00 €  +189%,      ,,,
92,,,,,,,,,,
93,J+62 Mar 11/05/21,Judiciaire,Studio Argenteuil,Tribunal Judiciaire de PONTOISE,28 000.00 €,92 000.00 €  +229%,      ,,,
94,,,,,,,,,,
95,J+62 Mar 11/05/21,Judiciaire,PAVILLON Pierrefitte-sur-Seine,Tribunal Judiciaire de BOBIGNY,80 000.00 €,242 000.00 €  +203%,      ,,,
96,,,,,,,,,,
97,J+62 Mar 11/05/21,Judiciaire,Appartement Aulnay-sous-Bois,Tribunal Judiciaire de BOBIGNY,52 000.00 €,85 000.00 €  +64%,      ,,,
98,,,,,,,,,,
99,J+62 Mar 11/05/21,Judiciaire,Appartement Aubervilliers,Tribunal Judiciaire de BOBIGNY,4 200.00 €,57 000.00 €  +1258%,      ,,,
